price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
109.49,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.84,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.33,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.61,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.87,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.38,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.55,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.92,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.53,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,451.5877724300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.1,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.025,0.0,0.0,0.0,0.025,2.168,0.025,2.168,0.025,0.025
82.95,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.2425,0.0,0.0,0.0,0.2425,19.780725,0.2425,19.780725,0.2425,0.2425
88.82,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,451.5877724300876,0.5825,0.0,0.0,0.0,0.5825,50.9338,0.5825,50.9338,0.5825,0.5825
81.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.68,0.0,0.0,0.0,0.68,54.5904,0.68,54.5904,0.68,0.68
77.53,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.5877724300876,0.535,0.0,0.0,0.0,0.535,40.74025,0.535,40.74025,0.535,0.535
68.0,0.11147028752093537,0.22294057504187073,0.0,0.0,0.22294057504187073,0.0,-15.6557,-15.6557,435.9320724300876,0.235,0.235,0.0,0.0,0.235,15.6557,0.235,15.6557,0.0,0.0
